id,Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
1469,SHIELDS For Families ,CA,Healthcare Provider,961,04/26/2012,Theft,Network Server,No,"On February 27, 2012, a computer server was stolen from the covered entity (CE),  Shields for Families.  The server contained the electronic protected health information (ePHI) of 961 individuals and included names, addresses, zip codes, birth dates and referral information.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE improved physical safeguards by relocating the new server to a locked office and securing it within the room.  The CE initiated major improvements to its IT infrastructure, revised its security program, and retrained workforce members on its revised policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions noted above."
1470,Oregon Health Authority,OR,Healthcare Provider,550,04/26/2012,Theft,Paper/Films,No,\N
1471,South Carolina Department of Health and Human Services,SC,Health Plan,228435,04/24/2012,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), South Carolina Department of Health and Human Services, discovered that an employee sent Medicaid reports to her personal email from January 31, 2012, through April 4, 2012.  The breach affected 228,435 individuals and the types of protected health information (PHI) involved in the breach included names, addresses, phone numbers, social security numbers and for 22,648 individuals, their Medicaid identification numbers.  The CE provided timely breach notification to HHS, affected individuals, and the media.  CE also posted notification about the breach on its website.  In response to the breach, CE suspended access to most of its ad hoc electronic reporting, initiated a comprehensive review of its privacy and security safeguards, contacted local and federal law enforcement, and sanctioned the responsible employee.  The CE also revised its security policies to restrict employee access to PHI to only that necessary for the individual’s job function and implemented an automated monitoring system to track user activity in its computer system.  CE also implemented annual privacy and security training.  OCR obtained assurances that the CE implemented the corrective actions listed above."
1472,"TLC Dental Dania, LLC",FL,Healthcare Provider,750,04/23/2012,Theft,Paper/Films,No,"A laptop computer and 750 paper medical records were stolen from the covered entity (CE), TLC Dental Dania, LLC, during a break-in.  The CE reported the theft to the law enforcement.  The CE provided timely breach notification to affected individuals and HHS, and posted notice on its website.  OCR provided technical assistance to CE about the requirements for media notice.  In response to the breach, the CE adopted and implemented new HIPAA policies that addressed the Security, Privacy and Breach Notification Rules.  OCR obtained assurances from the CE that its staff would be trained on these new policies.  "
1473,University of Arkansas for Medical Sciences,AR,Healthcare Provider,7121,04/20/2012,Unauthorized Access/Disclosure,Other,No,\N
1474,Desert AIDS Project,CA,Healthcare Provider,4400,04/20/2012,Theft,Desktop Computer,No,\N
1475,Emory Healthcare,GA,Healthcare Provider,315000,04/18/2012,"Other, Unknown",Other,No,"On February 20, 2012, the covered entity (CE), Emory Healthcare, discovered that ten unencrypted back-up compact disks (CDs) containing electronic protected health information (ePHI) were missing. The types of ePHI involved in the breach included clinical and demographic data for 315,000 surgical patients treated at three locations between September 1990 and April 2007.  The information on the CDs could only easily be read using decommissioned software.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE required every department to inventory and properly store or destroy PHI.  It also distributed educational material to all staff. OCR obtained assurances that the CE implemented the corrective actions listed above."
1476,"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central",TX,Healthcare Provider,1000,04/16/2012,Improper Disposal,Paper/Films,No,"After an extensive investigation, OCR determined that DRD Knoxville was not a HIPAA covered entity at the time that the incident occurred.
"
1477,"Roy E. Gondo, M.D.",WA,Healthcare Provider,2100,04/13/2012,Theft,"Desktop Computer, Electronic Medical Record",No,\N
1478,Memorial Healthcare System,FL,Health Plan,9497,04/13/2012,Other,Other,No,"Memorial Healthcare System (MHS) has paid the U.S. Department of Health and Human Services (HHS) $5.5 million to settle potential violations of the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules and agreed to implement a robust corrective action plan. MHS is a nonprofit corporation which operates six hospitals, an urgent care center, a nursing home, and a variety of ancillary health care facilities throughout the South Florida area. MHS is also affiliated with physician offices through an Organized Health Care Arrangement (OHCA).

MHS reported to the HHS Office for Civil Rights (OCR) that the protected health information (PHI) of 115,143 individuals had been impermissibly accessed by its employees and impermissibly disclosed to affiliated physician office staff. This information consisted of the affected individuals’ names, dates of birth, and social security numbers. The login credentials of a former employee of an affiliated physician’s office had been used to access the ePHI maintained by MHS on a daily basis without detection from April 2011 to April 2012, affecting 80,000 individuals. Although it had workforce access policies and procedures in place, MHS failed to implement procedures with respect to reviewing, modifying and/or terminating users’ right of access, as required by the HIPAA Rules. Further, MHS failed to regularly review records of information system activity on applications that maintain electronic protected health information by workforce users and users at affiliated physician practices, despite having identified this risk on several risk analyses conducted by MHS from 2007 to 2012.

“Access to ePHI must be provided only to authorized users, including affiliated physician office staff” said Robinsue Frohboese, Acting Director, HHS Office for Civil Rights. “Further, organizations must implement audit controls and review audit logs regularly. As this case shows, a lack of access controls and regular review of audit logs helps hackers or malevolent insiders to cover their electronic tracks, making it difficult for covered entities and business associates to not only recover from breaches, but to prevent them before they happen.”"
